Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Bonphulapl,Clean-tech,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,293000.00
Acko,Consumer Internet,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,12000000.00
HWell24,Healthcare,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,200000.00
Toffee,Consumer Internet,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,1500000.00
Tonetag,Technology,Bengaluru,Amazon Inc. and Mastercard,Private Equity,8000000.00
Events High,Consumer Internet,Bengaluru,Treebo,Private Equity,0.00
Stellaps,Technology,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000.00
Credright,Consumer Internet,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,1300000.00
Fitternity,Consumer Internet,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000.00
Synctag,Technology,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600.00
Benepik,Technology,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,0.00
Finzy,Consumer Internet,Bengaluru,PayU & Others,Seed / Angel Funding,1300000.00
Varthana,Finance,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000.00
IndigoLearn,Ed-Tech,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000.00
Vedantu,Ed-Tech,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000.00
Kaleidofin,Fiinance,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000.00
Pipabella,Consumer Internet,Mumbai,Fireside Ventures,Seed / Angel Funding,1000000.00
Elemential,Technology,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,0.00
Kriger Campus,Ed-Tech,Delhi,PayU & Others,Seed / Angel Funding,46140.00
Loanzen,Finance,Bengaluru,Kae Capital Management,Seed / Angel Funding,0.00
TravelTriangle,Consumer Internet,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000.00
Letsmd,Healthcare,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000.00
AyeFinance,Finance,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000.00
mintifi,Finance,Mumbai,Lok Capital,Seed / Angel Funding,2000000.00
icanstay,Consumer Internet,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,500000.00
Pregbuddy,Healthcare,Bengaluru,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Seed / Angel Funding,0.00
Coverfox,Consumer Internet,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,22000000.00
Lenskart,Consumer Internet,Faridabad,TR Capital,Private Equity,0.00
mamaearth,Healthcare,Gurugram,Shilpa Shetty Kundra,Private Equity,0.00
Fyle Technologies,Technology,Bengaluru,Pravega Ventures and Beenext,Seed / Angel Funding,1100000.00
True Balance,Technology,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,23000000.00
Visit,Healthcare,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity,0.00
Doxper,Healthcare,Mumbai,Vidal Healthcare,Seed / Angel Funding,1900000.00
Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000.00
Mihuru,Finance,Mumbai,PayU & Others,Seed / Angel Funding,150000.00
Capital Float,Finance,Bengaluru,Amazon,Private Equity,22000000.00
Trip shelf,Consumer Internet,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,246000.00
POPxo,Technology,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,5500000.00
RailYatri,Consumer Internet,Noida,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,0.00
1mg,Consumer Internet,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000.00
Rubique,Consumer Internet,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,0.00
Samco,Consumer Internet,Mumbai,Bay Capital Investments and Others,Private Equity,7500000.00
MyLoanCare,Finance,Gurgaon,SAR Group,Seed / Angel Funding,978000.00
PharmEasy,Consumer Internet,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,0.00
Buddy4studdy,Consumer Internet,Noida,CBA Capital and others,Private Equity,3000000.00
Urban Ladder,E-Commerce,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000.00
Kuvera,Consumer Internet,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000.00
Gramophone,Technology,Indore,InfoEdge,Seed/Angel Funding,1000000.00
Wellthy,Healthcare,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000.00
MedGenome,Healthcare,Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,10000000.00
Finova Capital,Consumer Internet,Jaipur,Sequoia Capital,Private Equity,6000000.00
Hotelogix,Technology,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000.00
Livehealth,Consumer Internet,Pune,Nexus Venture Partners,Seed / Angel Funding,1100000.00
Ad2pro,Technology,Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000.00
Coverfox,Consumer Internet,Mumbai,Aegon NV,Private Equity,7600000.00
Pepperfry,Consumer Internet,Mumbai,State Street Global Advisors,Private Equity,38400000.00
Magicpin,Consumer Internet,Gurugram,Trifecta Capital,Debt Funding,1000000.00
HealthCare,Consumer Internet,Mumbai,HR Fund,Seed / Angel Funding,1000000.00
PineLabs,Technology,Mumbai,"Actis, Altimeter Capital",Private Equity,82000000.00
Stumagz,Consumer Internet,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed / Angel Funding,0.00
AvailFinance,Consumer Internet,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,17200000.00
Grofers,Consumer Internet,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000.00
Fingerlix,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,1310000.00
Karma Healthcare,Healthcare,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,500000.00
Zappfresh,Food & Beverages,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,3000000.00
CustomerSucessBox,Technology,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,1000000.00
One Labs,Consumer Internet,Mumbai,Micromax Informatics Ltd,Private Equity,0.00
GigIndia,Consumer Internet,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed / Angel Funding,0.00
Chargebee,Technology,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,18000000.00
i2i Funding,Consumer Internet,Noida,SucSEED Venture Partners,Seed / Angel Funding,768000.00
Slang Labs,Technology,Bengaluru,Endiya Partners,Seed / Angel Funding,1240000.00
UrbanPiper,Technology,Bengaluru,"Kumar Vembu, Axilor Ventures",Seed / Angel Funding,0.00
Cash Suvidha,Consumer Internet,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,1000000.00
Roadcast,Technology,Delhi,PayU & Others,Private Equity,250000.00
Smartcoin,Finance,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,2000000.00
The Print,Media,Delhi,Ratan Tata,Seed / Angel Funding,535000.00
DriveU,Technology,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,3000000.00
Fynd,Consumer Internet,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed / Angel Funding,0.00
BigBasket,Consumer Internet,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000.00
Zomato,Food and Beverages,Gurugram,Ant Financials,Private Equity,200000000.00
Pratilipi,Publishing,Bengaluru,Omidyar Network,Private Equity,4300000.00
Asia Institute Of Medical Science,Healthcare,Faridabad,CDC Group Plc,Private Equity,21000000.00
CollegeDekho,Consumer Internet,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000.00
Foodmemories,Consumer Internet,Ahemdabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,0.00
Healthi,Healthcare,Bengaluru,Montane Ventures,Private Equity,3100000.00
Swiggy,Food and Beverages,Bengaluru,Naspers,Private Equity,100000000.00
Shape,Healthcare,Pune,Sandeep Mathur,Seed / Angle Funding,100000000.00
Icertis,Consumer Internet,Pune,Meritech Capital Partners,Private Equity,50000000.00
healthifyme,Healthcare,Bengaluru,Sistema Asia Fund,Private Equity,12000000.00
MedTel,Healthcare,Bhubaneswar,British and Indian Governments,Private Equity,0.00
Rupeek,Consumer Internet,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,6830000.00
WebEngage,Technology,Mumbai,Social Capital,Private Equity,0.00
Lendingkart,Finance,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000.00
Wydr,Consumer Internet,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,0.00
Cashify,E-Commerce,Gurugram,Trifecta Capital,Debt Funding,935089.00
holachef,Food and Beverages,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,311200.00
Awaaz De,Technology,Ahmedabad,Tribe Impact Capital LLP,Seed / Angle Funding,0.00
IMAX Program,Ed-Tech,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,13500000.00
Littlemore,Ed-Tech,Chennai,Kalpavriksh,Private Equity,3000000.00
Toppr,Ed-Tech,Mumbai,Axis Capital Partners,Private Equity,100000.00
Shirsa Labs,Ed-Tech,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000.00
MoneyOnMobile,Technology,Mumbai,S7 Group,Private Equity,5000000.00
PetSutra,Consumer Internet,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,148434.00
Infibeam,E-Commerce,Ahemadabad,Network 18,Private Equity,6230000.00
happay,Finance,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,250000.00
Fincash,Finance,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,150000.00
AyeFinance,Finance,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,3800000.00
Agricxlab,Agriculture,Mumbai,Ankur Capital,Seed / Angel Funding,500000.00
Udaan,E-Commerce,Bengaluru,Lightspeed & Yuri Milner,Private Equity,50000000.00
Capillary,IT,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,20000000.00
The Healthy Billions,Healthcare,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000.00
HighRadius,Technology,Hyderabad,"PNC, Citi Ventures",Private Equity,0.00
Avishkaar Box,Ed-Tech,Delhi,Auxano Deals,Private Equity,772500.00
Planys Technologies,Technology,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000.00
Lollypop,Technology,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,0.00
Trilyo,Technology,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,250000.00
Gaana,Technology,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000.00
Credy,IT,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,1400000.00
Predible Health,Healthcare,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,0.00
CleverTap,Technology,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,0.00
EarlySalary,Finance,Pune,Eight Roads Ventures India,Private,15700000.00
WOTU,E-commerce,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,0.00
DAAKI,E-commerce,Bengaluru,Rohan Agila,Angel / Seed Funding,0.00
Lendingkart,Finance,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4700000.00
Kinsane Entertainment Inc,Entertainment,Mumbai,PayU & Others,Seed/Angel Funding,2500000.00
Tapzo,Technology,Bengaluru,RuNet & Other,Private Equity,1930000.00
Appario Retail Pvt Ltd.,E-commerce,Delhi,Amazon-Patni JV,Private Equity,18840000.00
Samunnati,Finance,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,23500000.00
Sahajanand Medical Technologies,Technology,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000.00
Kuants,Technology,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,80000.00
Razorpay,Technology,Bengaluru,"Tiger Global, Y Combinator",Private Equity,20000000.00
Streak,Technology,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,354600.00
pi Ventures,Finance,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,25000000.00
Newgen Software,Technology,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,20000000.00
Rubix,Technology,Pune,Polaris Fund,Private Equity,1000000.00
ShareChat,Technology,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,18200000.00
Paperflite,Technology,Chennai,The Chennai Angels,Angel / Seed Funding,400000.00
HungerBox,Consumer Internet,Bangalore,Lionrock Capital,Private Equity,2500000.00
Skillate,Technology,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,0.00
OptaCredit,Finance,Chennai,DMI Finance,Private Equity,4000000.00
AEON Learning,Technology,Bengaluru,Dr. Ranjan Pai,Private Equity,3200000.00
Milkbasket,E-commerce,Gurugram,Unilever Ventures,Private Equity,3000000.00
NeoGrowth Credit,Finance,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000.00
Rao IIT Academy,Education,Mumbai,Avendus Finance,Structured Debt,8600000.00
Aye Finance,Finance,Gurugram,IFMR Capital,Term Loan,6240000.00
Glassic,Ecommerce,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,0.00
GreyAtom,Technology,Mumbai,Pravega Ventures,Private Equity,1000000.00
Axio,Healthcare,Bengaluru,RNT Capital,Private Equity,7400000.00
eKincare,Healthcare,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000.00
The Wedding Brigade,Consumer internet,Mumbai,Blume Ventures,Private Equity,1000000.00
PeeSafe,Healthcare,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000.00
BrowserStack,Technology,Mumbai,Accel Partners,Private Equity,50000000.00
Scapic,Technology,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000.00
MoneyOnMobile,Technology,Mumbai,Undisclosed Investors,Private Equity,7600000.00
CureFit,Healthcare,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,10000000.00
iNurture,Technology,Bengaluru,Ventureast,Private Equity,4400000.00
Strata Enviro,Technology,Mumbai,Scale Minds,Private Equity,0.00
Dunzo,Technology,Bangalore,Google,Private Equity,12300000.00
Tata Housing,Real Estate,Mumbai,Hines,Private Equity,23000000.00
HandyTrain,Technology,Goa,NB Ventures,Private Equity,1000000.00
Mobycy,Technology,Gurgaon,Undisclosed Investors,Seed/Angel Funding,500000.00
Greenlight Planet,Technology,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000.00
Fintobox,Technology,Chennai,Lightbox,Private Equity,7000000.00
Mswipe,Technology,Mumbai,Eduardo Saverin,Private Equity,10000000.00
The Label Life,E-Commerce,Mumbai,Kalpvriksh,Private Equity,3100000.00
Cygnus Hospitals,Healthcare,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,750000.00
eShakti,Ecommerce,Chennai,IDG Ventures,Debt Funding,2300000.00
Inshorts,Technology,Noida,Tiger Global,Private Equity,5000000.00
Vahdam Tea,E-Commerce,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000.00
Logic Roots,Technology,Mumbai,Village Capital,Seed/Angel Funding,50000.00
Project Mudra,Technology,Bengaluru,Village Capital,Seed/Angel Funding,50000.00
Furlenco,Technology,Bengaluru,Aamir Khan,Debt Funding,1200000.00
I Can Stay,Technology,Delhi,HT Media,Private Equity,1800000.00
Fracktal Works,Technology,Bengaluru,Hyderabad Angels,Seed/Angel Funding,0.00
Simility,Technology,Hyderabad,Accel Partners,Private Equity,17500000.00
Shopholix,E-Commerce,Gurgaon,Munesh Khanna,Seed/Angel Funding,233000.00
MindTickle,Technology,Pune,Canaan Partners,Private Equity,27000000.00
Nazara Technologies,Technology,Mumbai,Rakesh Jhunjhunwala,Private Equity,27000000.00
DocsApp,Technology,Bengaluru,Bessemer Venture Partners,Private Equity,7200000.00
Capita World,Technology,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,0.00
Tea Box,E-Commerce,Bengaluru,RB Investments,Private Equity,7000000.00
Transversal Technologies,Technology,Bengaluru,Matrix Partners,Private Equity,6000000.00
Curofy,Technology,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,250000.00
HomeLane,E-Commerce,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000.00
WeDoSky,Technology,Delhi,Mumbai Angels Network,Private Equity,0.00
Purplle,E-Commerce,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000.00
Cash Suvidha,E-Commerce,Delhi,PayU & Others,Debt Funding,2700000.00
Sky Met Weather,Technology,Noida,InsuResillience Investment Fund,Private Equity,0.00
Springboard,Technology,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000.00
Peel Works,Technology,Mumbai,Unilever Ventures,Private Equity,0.00
9Stacks,Technology,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000.00
Your Quote,Technology,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000.00
Spandana Sphoorty,Finance,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000.00
Indus OS,Technology,Mumbai,Omidyar Network,Private Equity,4000000.00
EasyEcom,E-Commerce,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000.00
IGP.com,E-Commerce,Uttar Pradesh,Venture Catalysts,Private Equity,0.00
Specsmakers,E-Commerce,Chennai,Eight Roads Ventures India,Private Equity,10000000.00
Garage On Road,E-Commerce,Noida,Gaurav Gupta,Private Equity,0.00
Foyr.com,Technology,Hyderabad,Jones Lang LaSalle,Private Equity,3800000.00
Prest Loans,Finance,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000.00
AadharAPI.com,Technology,Pune,CIO Angel Network,Seed Funding,0.00
FreshBoxx,ECommerce,Bangalore,Jayant Humbarwadi,Seed Funding,0.00
